id,antig,m2total,m2cub,ambientes,banios,direccion,barrio,comuna,latitud,longitud,precioUSD,m2precioUSD,comisaria_dista,obelisco_dista,nrobos,sup_espacio_verde,count_gastronomia,count_culturales
1,0,200,200,0,0,Gral Paz y Rivadavia,LINIERS,9,-34.6393,-58.528647,1500000,7500,1162.6215999196747,14053.79719123377,134,68426.445,12,0
2,30,50,50,0,1,Asuncion,VILLA DEVOTO,11,-34.611807,-58.528138,125000,2500,1887.2270552706618,13473.13937491834,23,110997.543,3,0
3,30,414,414,0,2,Avenida Beiro 5574,VILLA REAL,10,-34.616468,-58.528111,590000,1425.120773,1497.0204344304589,13514.662463171393,33,115341.039,5,0
4,35,414,414,0,2,Avenida Beiro 5574,VILLA REAL,10,-34.616344,-58.527918,730000,1763,1506.066813929305,13495.631683178362,33,115500.289,5,0
5,35,285,285,0,1,Avenida Beiro 5574,VILLA REAL,10,-34.616344,-58.527918,550000,1929,1506.066813929305,13495.631683178362,33,115500.289,5,0
6,0,20,20,0,0,Amadeo Jacques 7000,LINIERS,9,-34.636384,-58.527744,43000,2150,832.171099636106,13886.649121166083,134,85899.037,10,0
7,35,129,129,0,1,Francisco Bauz+�-� 2786,VILLA REAL,10,-34.616377,-58.527598,180000,1395,1495.8336513309991,13466.819976145041,34,115485.935,5,0
8,97,268,268,0,0,Tuyuti 7201,LINIERS,9,-34.644692,-58.527501,390000,1455.223881,1711.0065981395715,14133.532779945439,58,61231.55,5,0
9,1,270,270,4,4,Jos+�-� Le+�-�n Su+�-�rez,LINIERS,9,-34.644636,-58.527448,390000,1444,1704.0044258257608,14126.937095707597,59,60861.066,6,0
10,40,268,246,5,2,TUYUTI Y JOSE LEON SUAREZ,LINIERS,9,-34.6448,-58.527318,360000,1463,1719.7681994847774,14121.499791804297,55,61723.522000000004,4,0
11,0,63,63,0,2,Ramon L. Falc������n,LINIERS,9,-34.640227,-58.526303,46632,740,1204.0140424642373,13877.266486169126,167,71297.385,14,0
12,25,50,50,0,1,LOPE DE VEGA 3200,VILLA REAL,10,-34.613664,-58.525795,490000,9800,1768.1027250777456,13274.138917520466,40,123950.874,3,0
13,0,512,512,0,0,JUSTO  JUAN B AV 9600,LINIERS,9,-34.634756,-58.525731,900000,1757,599.4888101578505,13661.998172573794,97,99139.819,7,0
14,40,26,26,0,1,Rivadavia 11440,LINIERS,9,-34.63928,-58.525572,98000,3769,1090.029275980476,13782.785460275723,168,74559.22899999999,14,0
15,0,360,320,6,4,CARHUE 100,LINIERS,9,-34.640109,-58.525012,790000,2468,1176.2798340856289,13760.237727852536,175,71188.742,14,0
16,30,200,200,0,2,Ram+�-�n Falc+�-�n 7000,LINIERS,9,-34.640116,-58.525001,370000,1850,1176.9781048839618,13759.500834530298,175,71160.318,14,0
17,0,320,0,0,0,Victor Hugo 2500,VILLA REAL,10,-34.618953,-58.524956,352000,1100,1177.0338381943618,13259.074047266762,39,105792.951,4,1
18,0,115,115,0,1,RIVADAVIA al 11300,LINIERS,9,-34.639152,-58.524767,780000,6782,1068.8141050450413,13707.9989017862,172,72859.802,12,0
19,0,115,115,0,1,RIVADAVIA al 11300,LINIERS,9,-34.639152,-58.524767,780000,6782,1068.8141050450413,13707.9989017862,172,72859.802,12,0
20,50,516,516,0,2,Avenida Juan B Justo al 9500,VERSALLES,10,-34.634597,-58.524032,900000,1744,561.4229799495137,13506.802314943005,76,93308.285,5,0
21,30,120,120,0,3,Ramon L. Falcon 6930,LINIERS,9,-34.640216,-58.523914,620000,5166,1184.8158038181734,13667.516963710608,155,70859.378,12,0
22,0,130,130,0,1,Av Rivadavia al 11300,LINIERS,9,-34.638967,-58.523671,775000,5961.538462,1046.7475075277277,13605.84278264375,144,71896.705,11,0
23,60,30,30,1,0,Montiel al 1300,LINIERS,9,-34.653309,-58.523208,47000,1566,2225.033745729132,14105.503712287926,30,123633.71,2,0
24,0,246,0,0,0,Moliere 2400,VILLA REAL,10,-34.619266,-58.523095,440000,1789,1142.585928878558,13094.31028558696,40,97342.01,0,1
25,10,68,68,0,1,Virgilio 2600,VILLA REAL,10,-34.617376,-58.523038,85000,1250,1352.086137636486,13063.268731914108,38,109202.879,3,1
26,40,550,550,0,0,Timoteo Gordillo,LINIERS,9,-34.63929,-58.522757,780000,1418.181818,1088.4005477987248,13535.967757396711,116,70896.528,11,0
27,0,125,125,0,2,EMILIO CASTRO  7500,MATADEROS,9,-34.655433,-58.522751,340000,2720,2108.2523462650574,14160.61774628305,30,119376.117,2,0
28,40,130,130,0,1,MONTIEL  1300,LINIERS,9,-34.65401,-58.522382,250000,1923,2137.005821087549,14066.41662154159,31,123075.83099999999,2,0
